scheme_code,fund_house,category,subcategory,risk_grade,short_name,scheme_name,isin_growth,isin_div_reinvestment
125497,SBI Mutual Fund,Equity Scheme,Small Cap Fund,Very High,HDFC_Top100,SBI Small Cap Fund - Direct Plan - Growth,INF200K01T51,
119551,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Banking and PSU Fund,Moderate,SBI_Bluechip,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,INF209KA12Z1,INF209KA13Z9
120503,Axis Mutual Fund,Equity Scheme,ELSS,Very High,ICICI_Bluechip,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
118632,Nippon India Mutual Fund,Equity Scheme,Large Cap Fund,Very High,Nippon_Large_Cap,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01XI3,
119092,HDFC Mutual Fund,Debt Scheme,Money Market Fund,Moderate,Axis_Bluechip,HDFC Money Market Fund - Growth Option - Direct Plan,INF179KB1HU9,
120841,quant Mutual Fund,Equity Scheme,Mid Cap Fund,Very High,Kotak_Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
